id_contrato,cd_cliente,dt_contrato,vl_limite,vl_utilizado,tp_produto,cd_status,dt_vencimento,nr_parcelas,tx_juros_am
0B7C6FF7-9781-4F,D9D54CB1-809,2019-11-30,77205.25,9911.99,CREDITO_PESSOAL,ATIVO,2026-07-01,31,1.5964
1B0740AE-AAF5-42,AACCEFAB-AA1,2022-10-12,24512.72,24547.42,CHEQUE_ESPECIAL,ATIVO,2029-12-07,24,4.8864
D3BF95AA-00B8-41,5616BA27-A5D,2023-08-18,3817.24,2455.09,CHEQUE_ESPECIAL,RENEGOCIADO,2029-10-14,60,1.7519
EDBC8E9C-E796-4A,994A8BF3-4CF,2022-06-05,44583.02,10200.33,FINANCIAMENTO_VEICULO,EM_ATRASO,2028-08-21,3,7.9942
09A5DE8A-973A-46,6406CC5C-F06,2021-12-04,47742.93,20391.12,CONSIGNADO,EM_ATRASO,2029-01-12,51,2.6751
D607C230-D522-43,CA0551EE-5E8,2021-04-05,91444.35,83156.43,CARTAO_CREDITO,ATIVO,2027-07-28,48,6.6306
24299202-C8D8-4D,9B31695D-108,2019-06-20,67074.35,34087.61,CREDITO_PESSOAL,ATIVO,2027-04-17,3,2.177
D6A325AB-4016-43,65F02700-2FC,2023-12-24,69000.35,63723.97,CONSIGNADO,ATIVO,2024-04-15,41,4.9625
E1B33EA7-F935-4A,E284C7C2-092,2023-01-08,32355.6,12105.31,CHEQUE_ESPECIAL,ENCERRADO,2027-11-04,32,4.6797
899BC9D2-A490-43,64263BBA-0B8,2019-09-03,75729.15,68293.66,CARTAO_CREDITO,ATIVO,2025-09-18,19,8.0472
41281440-EA07-48,B4EDBCD0-ED4,2022-02-23,2133.41,702.31,CARTAO_CREDITO,RENEGOCIADO,2027-05-25,38,2.6842
030BE88F-15F5-4E,2AE67F9E-ED5,2019-05-02,40903.69,648.07,FINANCIAMENTO_VEICULO,ATIVO,2024-12-18,22,5.6911
281C4DBB-5F5A-49,11268A8C-814,2019-01-01,63153.8,70390.46,CHEQUE_ESPECIAL,EM_ATRASO,2024-03-09,46,2.9213
61EF623C-7BE7-42,9BD37035-C63,2018-06-22,66524.72,27257.7,CARTAO_CREDITO,EM_ATRASO,2027-10-07,36,3.1167
F058E337-6B7E-4B,21D4590C-D80,2019-07-19,94921.83,60445.31,CHEQUE_ESPECIAL,RENEGOCIADO,2024-04-04,26,7.5309
5B914EB0-5C1A-42,2C89C1DE-1A7,2022-04-24,57282.59,44911.65,CREDITO_PESSOAL,EM_ATRASO,2030-12-30,16,3.3567
0BFAA99A-BC83-40,AD72640D-C17,2023-09-05,65087.87,55322.56,CARTAO_CREDITO,ENCERRADO,2028-05-31,14,5.1307
8C827F15-5CFA-4D,235CA8B4-2DA,2019-11-06,40643.27,22773.41,CREDITO_PESSOAL,EM_ATRASO,2027-08-25,50,4.7269
7F645DB0-EB42-4B,F0CC8CCA-3F4,2023-11-17,74508.13,41515.21,CHEQUE_ESPECIAL,ENCERRADO,2027-12-02,5,6.8241
32EB3FF7-4B94-46,A890B3C1-30D,2020-01-24,77392.82,77536.36,CREDITO_PESSOAL,EM_ATRASO,2030-11-14,41,7.1895
7BBB872D-D9AF-47,0242103B-775,2018-05-25,40993.67,33110.6,CARTAO_CREDITO,ATIVO,2026-11-30,23,2.4302
DCEF68A8-EE8D-40,72F142F8-475,2018-03-16,90764.57,74115.02,CREDITO_PESSOAL,RENEGOCIADO,2029-07-23,41,2.076
F7B5B286-A447-48,F369784D-213,2022-03-23,31959.67,11084.57,CARTAO_CREDITO,RENEGOCIADO,2024-07-27,37,5.2625
BF5E3408-497F-4A,6AA8E43E-7C9,2023-08-02,94549.49,22915.99,CARTAO_CREDITO,ATIVO,2028-06-18,27,8.1862
8D9D6336-FED4-46,5FF8C9EF-A2C,2018-03-14,91147.53,10759.45,CHEQUE_ESPECIAL,EM_ATRASO,2028-04-04,39,1.6361
6D5CE21E-2512-4E,4094B3F2-508,2018-08-12,18472.99,2037.93,CARTAO_CREDITO,RENEGOCIADO,2026-10-30,21,2.8105
2D9D41E3-484F-4C,60EFE149-B0D,2022-02-23,41180.96,47136.85,FINANCIAMENTO_VEICULO,ENCERRADO,2025-04-02,10,7.4688
6C3257E1-59DC-46,2AE67F9E-ED5,2022-12-13,22294.07,2769.05,FINANCIAMENTO_VEICULO,RENEGOCIADO,2028-06-04,12,6.7311
A65EF89B-487E-46,E0ABA7D1-487,2021-12-23,16599.13,14429.68,FINANCIAMENTO_VEICULO,EM_ATRASO,2029-06-23,18,3.6017
F52D3F25-FA6B-41,C5A04C8D-3A9,2023-09-02,55759.61,40453.63,CONSIGNADO,RENEGOCIADO,2025-05-05,30,7.7588
AE08D50F-FBE8-4D,E378B378-3FE,2021-10-11,65376.89,6732.79,FINANCIAMENTO_VEICULO,ATIVO,2028-10-03,3,7.6823
B45279C6-DE70-43,E8DE9626-1FF,2018-12-04,17662.72,19049.18,CREDITO_PESSOAL,EM_ATRASO,2029-01-08,6,7.7042
DCD305A1-C3AA-42,B281A3AB-272,2020-12-11,33630.36,32802.68,CARTAO_CREDITO,EM_ATRASO,2026-01-29,28,2.8115
CE342D7E-977B-45,047120EF-D1A,2023-08-11,96870.31,75996.23,CHEQUE_ESPECIAL,RENEGOCIADO,2030-09-07,19,6.4087
AB1BCBD9-0A4B-47,7E2FAD1F-7C1,2019-04-15,37226.5,3695.02,CHEQUE_ESPECIAL,RENEGOCIADO,2030-04-03,3,2.758
E5232875-0C9B-4D,78B5C660-0EE,2019-07-08,50845.15,48443.47,CARTAO_CREDITO,ENCERRADO,2030-02-20,52,2.281
4925FA82-905B-43,AB82E6A4-64C,2021-08-25,25029.79,11288.52,CHEQUE_ESPECIAL,EM_ATRASO,2025-12-12,53,4.4592
983CD94B-1BA6-43,DB275D79-7A4,2023-06-14,41981.14,34037.83,CREDITO_PESSOAL,ATIVO,2027-06-27,28,2.8138
4269A3B6-5711-42,7E2FAD1F-7C1,2019-11-29,76408.5,23747.75,FINANCIAMENTO_VEICULO,ATIVO,2026-02-18,23,2.2729
BA5DFCAF-A3E8-41,9B272835-D53,2022-04-28,15914.79,6464.67,CARTAO_CREDITO,ENCERRADO,2025-08-10,53,8.0739
C8F4EB34-C7DF-41,21D4590C-D80,2020-05-01,72127.31,68938.57,CONSIGNADO,EM_ATRASO,2025-05-18,56,6.0971
01E16265-183D-4D,D9D54CB1-809,2021-12-11,34795.41,33711.04,CREDITO_PESSOAL,ENCERRADO,2028-01-22,50,1.8885
341FB291-B9E0-4C,9212F99A-4ED,2022-07-05,48383.66,368.8,CONSIGNADO,ATIVO,2029-09-22,58,2.9088
60CB5A5D-AF10-4B,36836E28-7AF,2018-02-24,87743.05,93100.63,FINANCIAMENTO_VEICULO,ENCERRADO,2029-04-12,5,1.965
BE2FBBD8-AB69-40,15C9FCA9-FF7,2020-01-26,19220.66,6782.61,CONSIGNADO,ENCERRADO,2029-06-24,34,8.0095
