id_contrato,cd_cliente,dt_contrato,vl_limite,vl_utilizado,tp_produto,cd_status,dt_vencimento,nr_parcelas,tx_juros_am
F5970A7C-4B66-43,0C9B366A-276,2022-05-24,83296.44,20674.96,CREDITO_PESSOAL,EM_ATRASO,2026-09-11,10,1.0256
56E78104-66EE-4A,2BD381DA-572,2022-02-03,66468.04,35216.87,CONSIGNADO,RENEGOCIADO,2024-01-19,60,4.7108
109BB81A-D678-4B,CF53050A-B5E,2022-08-01,61090.31,17121.09,CONSIGNADO,ENCERRADO,2026-10-28,20,2.6777
407003E8-2BBC-44,FE644003-AEF,2021-10-13,97551.98,48309.41,CONSIGNADO,ATIVO,2027-12-29,2,6.6763
973D79F2-9F54-48,B47A0697-1BD,2018-09-02,79149.33,29047.52,CREDITO_PESSOAL,ATIVO,2030-09-06,12,4.8965
C85D6B77-1AF5-4C,7DAB133D-E7C,2018-02-03,40388.86,7672.38,CARTAO_CREDITO,RENEGOCIADO,2026-03-18,18,2.1261
2E0D1F39-1F4D-4F,49B1AE30-1A6,2020-03-14,98588.25,68423.66,CONSIGNADO,ATIVO,2029-03-29,29,2.55
31C864DC-42A2-44,A01C2FB8-D51,2021-07-13,73961.25,77144.05,CREDITO_PESSOAL,EM_ATRASO,2024-01-20,16,5.1292
93DC062F-2358-46,4440E697-750,2021-10-04,3343.45,1621.46,CONSIGNADO,EM_ATRASO,2025-03-26,23,1.0961
3E268BF1-B6C1-48,CF00422D-8B0,2018-01-20,13699.2,10983.77,CREDITO_PESSOAL,EM_ATRASO,2024-04-04,43,2.2244
5F6E0862-709F-4F,20E0155F-099,2021-11-07,56451.53,20232.21,CHEQUE_ESPECIAL,ATIVO,2025-07-24,59,4.3728
189142D1-F3E8-47,2B60D4B9-26E,2020-08-10,26849.91,21113.35,CHEQUE_ESPECIAL,RENEGOCIADO,2030-12-16,55,7.2098
F1EE0153-847C-47,B05F0B09-218,2019-02-16,33395.87,3021.32,CARTAO_CREDITO,ENCERRADO,2026-09-05,43,3.515
6689772C-2EFF-40,87460BA3-138,2019-11-15,3404.65,3890.91,FINANCIAMENTO_VEICULO,EM_ATRASO,2026-01-26,57,4.3475
36FCE2E8-2A15-4A,721FF9AF-F4D,2022-04-07,26787.15,16984.79,CHEQUE_ESPECIAL,EM_ATRASO,2025-03-30,45,1.1936
D9F45510-F74A-42,1AF91BF9-7FB,2020-02-28,36666.0,9421.74,CONSIGNADO,EM_ATRASO,2027-11-28,19,3.4351
E065A098-DF22-47,BD911313-2AE,2022-11-02,8484.58,6165.82,CARTAO_CREDITO,ATIVO,2030-07-22,15,3.2962
5E7F462F-A2C6-4B,546C6C49-A4C,2021-05-31,8300.05,6352.83,CREDITO_PESSOAL,EM_ATRASO,2027-07-04,49,6.0688
B3600600-0142-41,BAB3723E-2CC,2022-09-08,69019.46,55444.59,CHEQUE_ESPECIAL,RENEGOCIADO,2026-02-02,35,7.308
3849B7C1-11B2-46,6EEA4155-EFB,2022-12-17,41865.45,9619.25,CREDITO_PESSOAL,RENEGOCIADO,2025-01-26,54,1.8811
F30D1B43-EFC3-4A,E662F78E-F5A,2023-05-03,9143.46,3338.09,CREDITO_PESSOAL,RENEGOCIADO,2025-11-14,49,4.0756
554131A5-33C2-4D,E2EBEAFB-A8C,2022-10-04,88355.53,17659.6,CARTAO_CREDITO,EM_ATRASO,2029-11-23,8,4.736
