id_transacao,cd_cliente,dt_transacao,vl_transacao,tp_transacao,cd_estabelecimento,fl_suspeita,cd_canal
9f4dea0d-1460-46c8-8508-bafe557c1ac6,AE382915-D6B,2024-09-21,23879.89,SAQUE,89347602000123,False,INTERNET
6d951a6f-b133-4e37-877b-879874727d05,968C0718-AF3,2024-03-13,23883.62,TED,76498152000128,False,POS
fe5c294e-fabf-4d6f-935f-476b30c31464,FD9A1E32-477,2023-11-07,1885.46,SAQUE,38456192000118,False,INTERNET
452e891b-2569-4b40-b188-f18bf1449a30,6EC3D8F5-C18,2023-06-20,5912.51,TED,68739024000109,False,INTERNET
90ae72cb-83d3-4d51-9d02-983a2ea53b1b,150B1177-D90,2024-07-07,19734.11,SAQUE,,False,AGENCIA
5294e910-cc2a-4a03-805a-6fc2f1ed0fd5,77516C0F-46C,2023-05-06,6670.56,PIX,,False,ATM
2ddfa462-c12d-42b5-85b3-6baa2a44d3b0,10A4E341-32F,2024-05-19,18428.27,SAQUE,43287510000102,False,ATM
4641d51b-0b2f-4c37-af1d-ebe42bf23157,86669F50-F78,2023-01-21,7247.14,PAGAMENTO_BOLETO,92864375000118,False,AGENCIA
232c08d4-6e41-4c73-a285-1521fa3f0146,039CE822-578,2024-05-25,14440.86,PAGAMENTO_BOLETO,17352904000189,False,APP
eb05c2a6-3b2d-4aa8-a6c5-decb6eb28688,F648E8E0-85F,2024-04-02,4512.74,PAGAMENTO_BOLETO,27819630000149,False,POS
7b16dd4e-e0c8-4416-a6f9-183d12c90a17,FC6A6BD1-6AD,2023-07-11,10970.74,PAGAMENTO_BOLETO,73291804000160,False,APP
98d4fea1-e28c-4e9b-9c7b-f325ad06235b,0614C514-D4D,2023-12-06,4053.5,SAQUE,31256408000152,False,POS
15e440b0-73ed-4219-b2f8-370cebbc7d4f,5FBA8E9F-F70,2024-06-23,11713.57,PIX,20397185000127,False,INTERNET
68f6373b-3af4-4026-a101-a08155d1e631,CF188CDE-1BE,2023-12-01,12258.95,SAQUE,85701632000135,False,POS
4e45db34-abd5-4384-8037-9724939d340c,F3F29466-41C,2024-06-15,23645.19,SAQUE,,False,APP
abbee02d-98aa-48ca-851f-86de8f0f46fb,CF53050A-B5E,2023-04-11,20308.3,SAQUE,91635827000127,False,ATM
80247094-4b60-41a3-ac2e-56d98ce8392a,ED431952-B97,2023-02-25,18230.48,PAGAMENTO_BOLETO,75286149000188,False,APP
92bae0ae-6139-4fe7-8d9c-e2a201102e98,BCAAC3C5-495,2023-09-29,22084.46,PAGAMENTO_BOLETO,06291347000117,False,ATM
ef5007e7-850d-4134-aac2-79453e54c690,81DC05A8-F89,2024-06-02,12966.32,PAGAMENTO_BOLETO,04597136000181,False,INTERNET
cc2fa21f-c8b8-4ee1-a11c-bf8540a26900,28F355A9-E03,2024-12-22,17333.45,TED,06519382000140,False,AGENCIA
d90518bf-d0dc-4ede-b9c2-69ced5455a4c,A0CC3429-FF9,2024-10-14,4617.63,PAGAMENTO_BOLETO,76054123000177,False,APP
369aad52-373c-4176-b069-abbc2579f828,C772899A-708,2023-02-11,19967.6,SAQUE,01365927000198,True,AGENCIA
66d04657-cadb-4cf2-a7ec-268f65a7f27a,A01C2FB8-D51,2024-02-02,5908.33,ESTORNO,24398076000185,False,POS
4d0d9e15-a567-4523-8a83-b1cd3eacb85b,E8E0C8B9-2F4,2024-08-10,21379.86,TED,25943076000181,False,APP
1cf4d1bc-77a6-486c-aa44-8499480b0114,E31DFBA2-920,2023-06-16,8673.17,SAQUE,41263958000152,False,POS
07360da2-2e2e-4f73-939f-4726c794bbb1,74A565D8-F98,2023-04-06,22463.65,COMPRA,28473569000193,False,POS
b5088951-8124-4629-af1b-ae7a0784f610,058B0BD6-B39,2024-08-23,4188.25,ESTORNO,07592186000164,False,APP
12280014-9879-4de2-94dd-2cffee94290a,E4E9CA3C-E10,2023-07-23,2313.24,PIX,98604325000188,False,POS
4449c8f5-0dda-40e7-9c4f-d6064b09bb65,44B3AF71-B17,2024-09-18,4822.49,SAQUE,68231574000104,False,POS
babe1975-f129-4515-8119-13b16d78c4df,6C8380B6-AC5,2024-04-26,10390.49,COMPRA,51293867000113,False,POS
d4658254-7de7-4bca-80b6-bd5d12f1c210,2508FF97-0F2,2024-09-15,12497.38,COMPRA,02751843000155,False,APP
da179f28-cfe6-429a-925e-51f6cacf0332,25C25327-DFE,2023-06-05,15832.82,COMPRA,02578419000150,False,APP
ae5177c6-32f3-4491-bade-6bd6deeb48d6,0E118CFC-032,2024-12-18,21668.47,PIX,85147390000180,False,INTERNET
9b0759ec-deef-4a05-9dba-6081eab39e0e,70FAF110-401,2024-09-12,1339.01,ESTORNO,23165740000183,False,APP
054ffc28-283d-4549-bc96-db94d8e55c02,AA6CEEAB-73E,2024-02-17,2819.07,COMPRA,14750836000118,False,INTERNET
d378f431-09a4-43a1-849c-ccf1d6e13928,EE4A48BE-E10,2024-09-24,1047.72,ESTORNO,72391805000114,True,INTERNET
90f6ec35-4869-44bc-a44f-7c9d4a4402ff,08E6CF7F-C32,2024-11-08,18075.4,ESTORNO,71542809000193,False,ATM
a208b537-2b77-4aa9-9232-e2a90514f4c5,436D7E4D-B9C,2023-07-22,23310.16,PAGAMENTO_BOLETO,24950783000132,False,INTERNET
8d7d6a8e-5ef3-4ecd-b5e2-f4cf9c92af8e,E2E0B69C-F24,2024-08-08,927.02,SAQUE,13926580000194,False,AGENCIA
4ebd8eb7-9302-4533-a4d8-d166785d4322,E2EBEAFB-A8C,2023-01-14,5211.24,ESTORNO,93241860000106,False,AGENCIA
dd11e508-524a-4668-ae54-39b113b037fe,5E488BA7-196,2023-04-17,19416.55,SAQUE,09856431000129,False,AGENCIA
ef7d71b8-855c-4334-a90a-833bfcbf3386,76B25783-839,2023-04-03,4404.66,TED,83467250000163,True,POS
e7e6fae6-c2dc-491c-848a-b703231d314f,C8C19B20-2A6,2024-10-02,17076.52,PAGAMENTO_BOLETO,01732459000142,False,AGENCIA
ace694f8-5b8d-4f8d-a60e-d83d226e04eb,468EE996-A0E,2024-08-13,21496.31,ESTORNO,28561093000142,False,INTERNET
42d4c642-6ac1-4155-8d91-f25d823e5fce,6B6AB06B-D71,2023-10-21,3754.48,PIX,34820796000140,False,POS
7692d925-e52b-45e8-94d7-9560df07d318,49B5579D-DD1,2024-01-11,4842.56,TED,79682531000161,False,APP
39881e28-e265-468f-9e59-2e47c46bcfd7,10A1A630-BD3,2024-11-01,20261.9,COMPRA,59783042000199,False,INTERNET
3c818db3-95b8-47a3-b9bd-f2e4c1bfb4db,5D91DA9C-862,2024-08-05,17892.26,PAGAMENTO_BOLETO,69134078000103,False,POS
c96ab886-3698-4142-868f-f21d06bf615b,721C6DFC-E9A,2023-01-18,12414.71,COMPRA,85061729000120,False,ATM
838c8abb-8ad6-4219-9beb-f807f9d529a1,9851E641-9B9,2023-10-10,2967.58,SAQUE,75431206000175,False,AGENCIA
d62292de-e0f3-4b17-858c-76769d0abdd0,C8C19B20-2A6,2024-07-06,13743.05,TED,68413270000168,False,INTERNET
e8f0ed2f-757d-4c20-9c50-ce646918765c,ABD174D3-4B9,2023-01-28,5301.5,TED,85409263000101,False,INTERNET
b29eefb1-cd30-4c57-982e-346ae68e5aeb,6401991F-F75,2024-05-08,642.6,COMPRA,05483691000145,False,AGENCIA
f209e071-a26f-4723-968c-cc204cc52f15,C11BD33A-0CD,2024-05-05,15356.86,SAQUE,15382790000194,False,AGENCIA
3bd9c923-bee9-4ca9-9fb5-e7a97c123574,1784ECFC-349,2024-09-05,1509.13,PAGAMENTO_BOLETO,05128643000139,False,APP
d6f4ee90-e474-4c37-8f4b-09dec6c315ee,F7FCA913-C68,2024-08-27,10781.4,COMPRA,56972483000140,False,INTERNET
a6c877d7-3a54-423e-83ed-70994ec75404,D96E502C-96E,2023-10-16,3163.38,PAGAMENTO_BOLETO,39461085000140,False,APP
299c72f0-41c8-4739-8e83-0814a9b8d019,AFBC2AF8-504,2023-09-25,8560.74,SAQUE,09452376000101,False,APP
9cef260b-5028-441f-a3d5-6cd6215eae1a,9160A6A3-483,2024-12-28,5547.09,TED,13892475000181,True,APP
fca48c30-7ee5-47db-839b-bbd411fee7b9,A49D84DF-75C,2024-09-22,3118.68,TED,79813650000106,False,ATM
4c78eb56-4271-4676-ad6e-3c63238d151b,37D64FEA-CAA,2024-07-31,23914.79,ESTORNO,69184230000154,False,ATM
0f8ec35b-3dd1-4e95-a060-152b12181483,BD4C8EFB-123,2023-11-12,22326.22,PAGAMENTO_BOLETO,39617048000189,False,ATM
1800e8b7-52a1-496d-b21d-e5b96c6a7615,CEC58645-72D,2023-12-23,14753.69,TED,96310287000125,False,INTERNET
6dadfc64-0167-4695-a8a7-eef9c7d7fa96,4224C023-956,2023-09-15,23644.34,PIX,93081562000198,False,INTERNET
371eec3d-4713-42b4-95db-9e9ca047a51e,55A09D16-E34,2023-09-15,20919.5,PIX,80927153000118,False,APP
23fa0e78-fcf0-415e-85e2-c756ec18a034,4224C023-956,2023-03-02,1104.52,COMPRA,62984350000197,False,POS
efc43fd0-1a6b-498a-a2f1-5d1d72f8bb59,E3CED293-917,2023-08-01,3067.24,COMPRA,57632941000165,False,ATM
be7406e4-55a5-4792-98e9-a15e95049997,6DB4C648-BEB,2023-04-13,13846.75,PIX,12694350000184,False,APP
d0fba0ee-4aa6-4db4-82b0-1c5553a21dc7,912676CF-EE1,2024-03-09,12225.37,PAGAMENTO_BOLETO,60318574000134,False,APP
5ee37c8c-d6c5-4522-a187-cb1bdf64ef63,342C6AE3-5C5,2024-11-17,12922.02,TED,43208165000166,False,INTERNET
f27f1d97-b97a-48f5-976d-649a0eb1c8ee,6025AAB3-FEF,2023-04-21,14819.3,TED,73416098000136,False,ATM
e8fc5d60-166c-4d5d-bb78-3386ecaf65a0,E78CD62D-E6B,2024-06-04,2112.25,COMPRA,15672093000178,False,APP
a823e23e-ab71-4e0e-a95d-42c245ae6425,E78CD62D-E6B,2024-04-18,6163.71,ESTORNO,73082691000193,False,APP
4351d392-6fcc-472a-8bb9-5d359d213fe2,4224C023-956,2023-10-22,24219.43,TED,27463809000106,False,AGENCIA
8b233a61-3407-4e44-84f2-19ecc13abf49,9F04E379-E54,2023-07-24,12301.59,PIX,56038712000154,False,INTERNET
d75fe3a8-fa90-46b8-a9b2-5990c01928c2,BC2C7433-3A8,2024-08-01,621.22,PIX,28460753000107,False,POS
8f785e0f-ddb2-4014-874d-c53072fa139a,0E118CFC-032,2024-11-23,21485.32,TED,40968732000194,False,ATM
dabe46e9-4509-4715-8029-0dbb28cc4b58,CD3EF84C-5A0,2024-05-23,14904.61,COMPRA,51943682000107,False,POS
06cf63a5-f46a-4f59-b29d-150153dbeac1,08CEE419-9B7,2023-07-23,138.16,ESTORNO,97560381000103,False,INTERNET
0bc10656-f9ba-46a4-9d17-2cf8f2374a1b,353AF3D9-DF8,2023-06-10,15174.66,PIX,13670524000131,False,ATM
c7c974dc-5b97-4f1d-ad6a-8f8b1f85aa02,2080AE94-157,2024-03-23,22241.08,SAQUE,05821634000129,False,POS
b56073a9-2685-4894-ae07-f607b106916c,D743D9D4-B49,2023-09-04,1603.27,SAQUE,02851497000187,False,ATM
a7f64304-6784-4817-b497-665f897d03c7,0FBD1AA6-DE6,2023-02-28,475.99,TED,26957038000140,False,ATM
c0efc719-c447-4fa1-b281-fac758b17a58,347A3AEE-93F,2023-12-05,2505.53,ESTORNO,03941257000136,False,APP
068bd566-e379-4311-a753-2303dd3a2da6,49836785-5BB,2023-02-21,19877.89,PIX,64032785000167,False,ATM
01c1d8ea-7236-4728-b0aa-2296aea26de5,2B35A339-697,2023-09-16,3109.4,COMPRA,34192867000108,True,AGENCIA
a7d410c1-5a30-4df2-81e0-efa847cc8b19,1A43BEF3-AE4,2024-07-10,14639.74,PAGAMENTO_BOLETO,86543920000171,False,POS
58352913-074f-400a-b5cd-e9b6ad127c85,763834C8-DE3,2024-12-25,18932.54,ESTORNO,92507431000167,False,POS
