id_transacao,cd_cliente,dt_transacao,vl_transacao,tp_transacao,cd_estabelecimento,fl_suspeita,cd_canal
729d4eff-a538-498e-88bb-279d26c92772,FB9CE49A-D95,2023-07-20,6358.35,SAQUE,,False,ATM
9f9f32e2-afac-486f-9875-a8d575e5f586,682FF973-AEE,2023-07-15,5390.91,ESTORNO,10738462000164,False,ATM
badcdd89-047c-4a2a-97cb-bb92a4958a67,81CD6D10-6C1,2024-10-10,1163.94,ESTORNO,69148257000191,False,ATM
4703a452-d501-465a-bc48-18711423a22a,F8D91D47-F10,2024-08-26,11435.51,PAGAMENTO_BOLETO,21569703000105,False,ATM
839fcc4e-c2e5-47fc-8db2-4ba5219a79a7,B368CD58-85A,2023-02-19,109.93,PAGAMENTO_BOLETO,82793146000104,False,POS
2f3b1ff0-fdfe-47c6-9597-b671a67c4158,8B170E4B-97C,2024-06-04,12074.07,SAQUE,27963401000101,False,INTERNET
caa80073-6979-406f-a46c-237b5580cd38,DDEF919C-7D4,2023-05-12,18262.77,COMPRA,18453926000106,False,POS
b660921b-e5fa-4529-9be6-fb524ba6a503,DC13ABC8-541,2023-11-26,15154.61,PAGAMENTO_BOLETO,62753941000153,False,ATM
a4a46735-8678-4fa8-9cc4-a4cf0a062999,6BE182F1-C21,2024-12-10,24487.55,SAQUE,12940785000161,False,AGENCIA
1b7b673c-41cb-493b-9830-37515dfab84c,4F4A7587-80E,2024-04-08,24262.34,SAQUE,13789052000130,False,POS
a39f2975-a24e-400f-a716-25cce72a790c,DD0B78CF-063,2024-06-08,17500.81,TED,79456382000112,False,POS
1c82fc43-c946-4a9f-9b27-ffe7f0a29f4a,DC220EFE-45E,2024-12-29,21517.9,ESTORNO,43712685000101,False,INTERNET
4689e824-d710-414f-adc0-168c57d9c8d4,06DE2033-293,2024-10-01,5023.43,ESTORNO,08397216000144,False,AGENCIA
6ef8d81c-d507-4941-bb25-38bfc8824f8e,D93797BE-03D,2023-05-16,23029.91,ESTORNO,94738160000186,False,INTERNET
a00fa06b-5a98-4073-9eb7-a8b27afd5b1f,63BDB60F-B26,2024-12-11,12598.08,ESTORNO,52104768000109,False,APP
fcef02c3-8c5f-4167-ae93-5d45b97a6f51,C71AA9FC-94F,2024-07-29,19019.73,PIX,58972146000189,False,ATM
45c6c1a4-41d2-4e42-a6aa-94ba7c9ac16d,F2A67482-FB5,2024-06-30,16856.58,TED,50438169000104,False,ATM
50c81031-f6d4-459e-bd03-1ad37ab6979f,49FFFF3C-3E4,2024-06-19,20207.91,COMPRA,53819240000189,True,INTERNET
1bc0a4a0-6640-4dc6-8dc9-ac19dd5154a3,CCC5FF5E-608,2023-02-27,1328.05,SAQUE,29853461000199,False,INTERNET
bee45f78-cee0-4d7c-a9e3-e5ba9db9899c,4F47DD06-E59,2024-11-30,24588.33,TED,18236470000114,False,APP
5faf5061-6bc5-4d8a-a1bf-d4fa1ae7f1db,CDC13E06-AD2,2023-10-30,17265.34,SAQUE,41720653000122,False,APP
257735c4-841c-470c-8add-e9d135b930e0,EC00FAE8-968,2024-04-08,8968.02,COMPRA,40825916000103,False,POS
0acd761d-608e-4d16-8c0f-df4ab25de402,8C2C5CE7-F78,2024-10-24,21621.24,PAGAMENTO_BOLETO,39708562000120,False,POS
c4675de2-6931-474a-b27b-3cd003a9d8ac,9423A097-81A,2024-12-13,19608.0,TED,43078269000101,False,APP
495c0d3d-48d0-4814-b7da-701cdf77b4c1,529071B6-4AA,2024-02-01,23162.23,PIX,87139024000104,False,AGENCIA
1aa88a94-3ed2-46c2-ae21-4d6fc4da498a,45A12187-376,2023-02-25,24145.88,COMPRA,71893204000147,False,INTERNET
